start_time,end_time,transcription,intensity
39.04,59.04,"town halls and redistricting.
",5.881059
105.75999999999999,125.75999999999999,"Can you clarify legally when the president can randomly put chairs?
",8.110138
124.47999999999999,144.48,"Let me just say this. I'm on the bill with Don Bacon, a Republican...
",9.41943
181.12,201.12,"they've decimated retirement plans for many people
",6.870863
267.52,287.52,"what goes on in the ocean.
",6.1792593
493.12,513.12,"abortion rights, we've seen it on voting rights, and now they're looking to try to disenfranchise people who've been married.
",10.857905
530.0799999999999,550.0799999999999,"possibly with insider information based on what knowing what Trump was going to do.
",6.8941197
546.88,566.88,"A couple of simple rules that we need.
",5.659574
652.48,672.48,"and so there has to be an investigation into it
",6.1089644
853.12,873.12,"And if we can defeat decisively the MAGA movement the next couple election cycles, then a new Republican Party is going to emerge. But do I think you're going to have Donald Trump or J.D. Vance who drags it out on him and lives out of an epiphany? No, they need to be defeated for something better.
",6.956882
936.16,956.16,"Please follow up on that.
",7.268989
1027.84,1047.84,"So it's not like we've been taking the proper safeguards.
",6.7342787
1101.76,1121.76,"What are you doing to make it so the people who are making the decisions, who are choosing how to talk to America, are young enough to be able to do that well?
",7.3162613
1242.8799999999999,1262.8799999999999,"And I'm very confident that you're going to see in 26 and 28 a new generation.
",7.3160863
1294.24,1314.24,"I can't afford to lose my Medicare or Social Security
",7.253893
1359.04,1379.04,"We try to put it on Facebook, but we will make sure in touch with the AARP.
",8.501511
1529.44,1549.44,"convicted of a violent felony, convicted gang member being deported, but you can't deport someone without having them go through a process to know whether they're guilty or not.
",15.267271
1601.9199999999998,1621.9199999999998,"Eighty percent of people agree with it, the basics. But what politicians have done is politicize it.
",5.9902487
1606.72,1626.72,"98% of people agree with it. But what politicians have done is politicize it. And that's what Lincoln Riley, in my view, was doing.
",4.502951
1614.3999999999999,1634.3999999999999,"And the question about Cory Booker's speech?
",6.2580833
1635.04,1655.04,"I wanted to know or I think
",7.539723
1669.6,1689.6,"You and your colleagues in the House and the Senate need to speak out and put it back.
",6.9233456
1827.04,1847.04,"so please don't forget our senator.
",9.542813
1935.04,1955.04,"It seems like there's not a concerted action of the party.
",10.496131
1961.9199999999998,1981.9199999999998,"But I think what we're missing is not that they're individual voices, a lot of people are doing a lot, but for it to break through, I think it's got to be concerted.
",8.220707
2089.12,2109.12,"How do you assure your constituents and all American citizens that Donald Trump cannot come for them whenever, wherever, or however he wants? What happens when he tries to invoke the Insurrection Act?
",9.804385
2219.2,2239.2,"But we have to find it every speaking out and taking risks
",8.46628
2295.52,2315.52,"As a person who believes that this is wrong and this is serious, I want you to be figuratively taking them by the collar and saying, what are you doing?
",9.181703
2424.16,2444.16,"saying right now and saying, ""Oh, I'm going to vote to deport immigrants"" are not going to be on the losing side of history a few years from now. And what I make to my colleagues is stand up for your conscience and principles because people are going to get there and you don't want to be left behind, standing up for basic values.
",8.746858
